files,curr_date,version,file_urls,make,model
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Mirage/Mitsubishi-Mirage-1.2-GLS_MitsMira1h5_2v.jpg', 'path': 'full/e6b5ccb0de3e1f130b616654908d631a061dfec7.jpg', 'checksum': 'e116517ad35a3604610367595c3dede1'}]",2016/08/07,"
            1.2 GLS    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Mirage/Mitsubishi-Mirage-1.2-GLS_MitsMira1h5_2v.jpg,Mitsubishi,Mirage
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Mirage/Mitsubishi-Mirage-1.2-GLS_MitsMira1h5_3v.jpg', 'path': 'full/0f6f432175e3e3ca7d336293710498c9a980dd65.jpg', 'checksum': '37cd2e1742132639f32d794e41e7ac13'}]",2016/08/07,"
            1.2 GLS    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Mirage/Mitsubishi-Mirage-1.2-GLS_MitsMira1h5_3v.jpg,Mitsubishi,Mirage
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Triton/Mitsubishi-Triton-2.5DI-D-double-cab-4x4-Xtreme_MitsTrit1fd7v.jpg', 'path': 'full/39a762631ab290e6669d993503d7b0016b61a52a.jpg', 'checksum': '9bf20d4861150d87d030b8b623860fbd'}]",2016/08/07,"
            2.5DI-D double cab 4x4 Xtreme    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Triton/Mitsubishi-Triton-2.5DI-D-double-cab-4x4-Xtreme_MitsTrit1fd7v.jpg,Mitsubishi,Triton
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Triton/Mitsubishi-Triton-2.5DI-D-double-cab-4x4-Xtreme_MitsTrit1fd7_2v.jpg', 'path': 'full/a7e2924e1b6e03d4174754092b826491bde54275.jpg', 'checksum': '36747e937e962f29a9b7840f2ba5825d'}]",2016/08/07,"
            2.5DI-D double cab 4x4 Xtreme    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Triton/Mitsubishi-Triton-2.5DI-D-double-cab-4x4-Xtreme_MitsTrit1fd7_2v.jpg,Mitsubishi,Triton
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Triton/Mitsubishi-Triton-2.5DI-D-double-cab-4x4-Xtreme_MitsTrit1fd7_3v.jpg', 'path': 'full/b8e8da2adb94837f02542c549e202aedede341a2.jpg', 'checksum': 'd72b6b417cb649c74ce88ce1a1969661'}]",2016/08/07,"
            2.5DI-D double cab 4x4 Xtreme    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Triton/Mitsubishi-Triton-2.5DI-D-double-cab-4x4-Xtreme_MitsTrit1fd7_3v.jpg,Mitsubishi,Triton
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Vitara/Suzuki-Vitara-1.6-GLX-AllGrip_SuzuVita1e5v.jpg', 'path': 'full/362cfa6952b345bfa2c1dbe35b836ac64c004f11.jpg', 'checksum': '3ac2562df4247ba51cce9636054ab9b3'}]",2016/08/07,"
            1.6 GLX AllGrip    ",http://www.cars.co.za/carimages_gen/Suzuki-Vitara/Suzuki-Vitara-1.6-GLX-AllGrip_SuzuVita1e5v.jpg,Suzuki,Vitara
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Vitara/Suzuki-Vitara-1.6-GLX-AllGrip_SuzuVita1e5_2v.jpg', 'path': 'full/b61ed2074588b083b07181cdcdc3d388743e8361.jpg', 'checksum': 'efa16430937a6d8b69f895205f6c0b52'}]",2016/08/07,"
            1.6 GLX AllGrip    ",http://www.cars.co.za/carimages_gen/Suzuki-Vitara/Suzuki-Vitara-1.6-GLX-AllGrip_SuzuVita1e5_2v.jpg,Suzuki,Vitara
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Vitara/Suzuki-Vitara-1.6-GLX-AllGrip_SuzuVita1e5_3v.jpg', 'path': 'full/b5845208c69b78983170485d958cd3106567987f.jpg', 'checksum': '069de311d1c3278f2a88c00bd49a4c5c'}]",2016/08/07,"
            1.6 GLX AllGrip    ",http://www.cars.co.za/carimages_gen/Suzuki-Vitara/Suzuki-Vitara-1.6-GLX-AllGrip_SuzuVita1e5_3v.jpg,Suzuki,Vitara
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-SX4/Suzuki-SX4-1.6-GLX-AllGrip-auto_SuzuSX42e5v.jpg', 'path': 'full/e1821165018125bb56cb6711dc6086bb0494106e.jpg', 'checksum': '7df35d8d3dbd8bcd3ebfb8cce99645dc'}]",2016/08/07,"
            1.6 GLX AllGrip auto    ",http://www.cars.co.za/carimages_gen/Suzuki-SX4/Suzuki-SX4-1.6-GLX-AllGrip-auto_SuzuSX42e5v.jpg,Suzuki,SX4
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-SX4/Suzuki-SX4-1.6-GLX-AllGrip-auto_SuzuSX42e5_2v.jpg', 'path': 'full/c30c78eb516194eda46b80d99fb7618e247bffb4.jpg', 'checksum': '13be678f5e08267d2dd94924b3b1bc11'}]",2016/08/07,"
            1.6 GLX AllGrip auto    ",http://www.cars.co.za/carimages_gen/Suzuki-SX4/Suzuki-SX4-1.6-GLX-AllGrip-auto_SuzuSX42e5_2v.jpg,Suzuki,SX4
